Urun,Kaynak,Yazar,Yorum,Begeni,Tarih,Temiz_Yorum,Skor,Etiket,Hedef
MacBook Air,YouTube,@alikurnaz7940,"günde 10 saate yakın bilgisayar üzerinde araştırma yapan birisiyim, 300 sayfalık onlarca farklı tez, word, pdf uygulamalarının beraber açık olması en baba bilgisayarı bile zorluyor. bu 10 saatlik aktif süreçte yoluma yoldaş olacak bir bilgisayar aradım. mac grubuna olan alerjimden kaynaklı mac dışındaki her markayı didik didik inceledim, ta ki bugüne kadar. inat etmiştim, mac almıcam dedim ama yapacak bir şeyim kalmadı. ofis bilgisayarı işinde mac'ten bu işi daha iyi yapan yok, f/p açısından bile asus/lenovo yahut herhangi bir grubu çok net bir biçimde geçebiliyor. mac ile kapışabilecek ofis bilgisayarları 70-80k bandında. bu tarz bir dileğiniz varsa çok kendinizi yormadan ve inatlaşmadan mac alın.",4,2025-07-06T11:21:27Z,günde saate yakın bilgisayar üzerinde araştırma yapan birisiy sayfalık onlarca farklı tez word pdf uygulamaları beraber açık olması baba bilgisayarı bile zorluyor saatlik aktif süreçte yoluma yoldaş olacak bilgisayar aradım mac grubuna olan alerjim kaynaklı mac dışındaki her markayı didik didik inceled bugüne inat etmişt mac almıcam ded yapacak şey kalmadı ofis bilgisayarı işinde macten işi iyi yapan açısın bile asuslenovo yahut herhangi grubu net biçimde geçebiliyor mac kapışabilecek ofis bilgisayarları bandında tarz dileğiniz varsa kendinizi yorma inatlaşma mac alın,1.0,Olumlu,1
AirPods Pro,YouTube,@ayseruveyda,"Çok güzel bir inceleme olmuş, teşekkür ederim 🙏🏻 🌸🌱",0,2023-04-19T08:42:21Z,güzel inceleme olmuş teşekkür eder,1.0,Olumlu,1
Samsung S24,Twitter (Simulated),@user_99624, Son amiral gemisi a73 tür o da artik üretilmiyor iyi olan şeylerin üretimi durdurulur,16,2025-01-21T18:58:13Z,son amiral gemisi tür artik üretilmiyor iyi olan şeylerin üreti durdurulur,1.0,Olumlu,1
iPhone 15,YouTube,@T.R.K2929,"Ana kamera da video ve fotoğraf kalitesinde 13 pro 15'ten iyi mi, şaka değil dimi bu",0,2025-02-27T07:16:03Z,ana kamera video fotoğraf kalitesinde pro ten iyi şaka değil dimi,1.0,Olumlu,1
iPhone 15,Instagram (Simulated),insta_user_2910,💸 2020 yılında aldığım samsngunun en alt segment telefonu bile iphoane 16 pro Max kadar iyi özellik... #alisveris,376,2024-12-29T13:59:58Z,yılında aldığım samsngun alt segment telefonu bile iphoane pro max iyi özellik alisveris,1.0,Olumlu,1
iPhone 15,Instagram (Simulated),insta_user_3546,🙌 15 ten yazıyorum gayet iyi cihaz ama iPhone takıntınız yoksa bu fiyata s23 ultra öneririm #teknoloji,160,2024-05-13T10:38:55Z,ten yazıyorum gayet iyi cihaz iphone takıntınız yoksa fiyata ultra önerir teknoloji,1.0,Olumlu,1
Dyson Supurge,Twitter (Simulated),@user_72765, Dyson alan kişiler yürek rahatlatma adına sürekli 7 düvele süpürgeyi övüyorlar.(Ben de enayilik yapıp alsaydım emin olun bende böyle yapardım haklısınız) Dolayısıyla fiyat sürekli yukarı tırmanıyor. Arkadaşlar dyson okey kaliteli bir süpürge ama Allah aşkına plastik aksamlı ga...,98,2024-06-01T16:53:43Z,dyson alan kişi yürek rahatlatma adına sürekli düvele süpürgeyi övüyorlarben enayilik yapıp alsaydım emin olun bende yapardım haklısınız dolayısıyla fiyat sürekli yukarı tırmanıyor arkadaş dyson okey kaliteli süpürge allah aşkına plastik aksamlı,1.0,Olumlu,1
AirPods Pro,YouTube,@r00kie-m8s,Gene güzel ve kaliteli bir video,1,2020-01-25T16:08:06Z,gene güzel kaliteli video,1.0,Olumlu,1
Dyson Supurge,Instagram (Simulated),insta_user_5130,🔥 Ya beğendin işte . Sponsor olacak diye dysonu sevdiğini söylemiyorsun. Ben gen 5 aldım mükemmel ö... #alisveris,289,2024-01-06T05:33:01Z,beğendin işte sponsor olacak dysonu sevdiğini söylemiyors gen aldım mükemmel alisveris,1.0,Olumlu,1
AirPods Pro,YouTube,@havok1534,SİZ YAPARSANIZ İNCELEMEYİ MÜKEMMEL OLACAK KANIMCA,0,2020-01-26T20:12:53Z,yaparsaniz incelemeyi mükemmel olacak kanimca,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_8789,💩 Abi selam aynısından aldım ama konuşmamda net anlaşılamıyorum orda ayarları var 3 tane dış ses iç... #tech,444,2021-04-08T17:24:10Z,abi selam aynısın aldım konuşmamda net anlaşılamıyorum orda ayarları tane dış ses tech,1.0,Olumlu,1
AirPods Pro,YouTube,@Pharmacist3347,Bu adamı yeni keşfettim harbi herşeyi sıkmadan rahat bi şekilde anlatıyor ve herşeyi net doğru konuşuyor diğerleri gibi yağ çekmiyor,2,2020-12-06T16:32:40Z,ada yeni keşfett harbi herşeyi sıkma rahat şekilde anlatıyor herşeyi net doğru konuşuyor diğerleri yağ çekmiyor,1.0,Olumlu,1
Samsung S24,Twitter (Simulated),@user_15299,@AppleDestek Iphone 13 le çok fark var mi aralarinda 13 alsam pişman olur mugum,93,2024-07-24T23:27:53Z,appledestek iphone fark aralarinda alsam pişman olur mugum,-1.0,Olumsuz,0
MacBook Air,YouTube,@tekoshin,Allah aşkına videonun kapağı niye 10 sene önce çekilmiş video gibi duruyor daha net bir fotoğraf koysan daha iyi olmaz mı,0,2025-05-25T16:20:36Z,allah aşkına videon kapağı niye sene önce çekilmiş video duruyor net fotoğraf koysan iyi olmaz,1.0,Olumlu,1
Dyson Supurge,Twitter (Simulated),@user_14480, Kablosuz süpürgeler benim gozum de balon elimde 3kg lik süpürge ile mi yerleri koltukları arabayı süpürmesi kolay yoksa normal supurgenin maksimum yarım kg olan supurme başlığı ile süpürmek mi kolay kaliteli süpürge istiyorsanız miele nin elektirikli süpürgelerine bakın illa k...,66,2024-01-05T22:40:31Z,kablosuz süpürge ben gozum balon elimde lik süpürge yerleri koltukları arabayı süpürmesi kolay yoksa normal supurge maksimum yarım olan supurme başlığı süpürmek kolay kaliteli süpürge istiyorsanız miele nin elektirikli süpürgelerine bakın illa,1.0,Olumlu,1
Dyson Supurge,YouTube,@halilmalil-j6g,"Bende daysın 12 var geçenyıl durduk  yere halı süprme başlığı bozuldu  , bir servisle irtbat kurdum  başlığı eve getirdi  ve7500 liramı alıp gitti bayağı zoruma gitti, bütuparçaları çok pahalı sürdürebilirliği yok , siz biaz  kullanında ben sizi o zaman göreyim🫩",0,2025-11-10T17:10:47Z,bende daysın geçenyıl durduk yere halı süprme başlığı bozuldu servisle irtbat kurdum başlığı eve getirdi lira alıp gitti bayağı zoruma gitti bütuparçaları pahalı sürdürebilirliği biaz kullanında sizi zaman görey,-1.0,Olumsuz,0
Samsung S24,Twitter (Simulated),@user_43414,@Webtekno abi 14 15 binlere çıka bilirim en fazla yurt dışı da olabilir en iyi cihaz nedir sence 4 5 yıl kullanıcam işlemcisi iyi olmalı arka kamerasıda ön kamera pek kullanmam,43,2024-07-17T22:39:26Z,webtekno abi binlere çıka bilir fazla yurt dışı olabilir iyi cihaz nedir sence yıl kullanıcam işlemcisi iyi olmalı arka kamerasıda kamera pek kullanmam,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_9518,💩 SİZ YAPARSANIZ İNCELEMEYİ MÜKEMMEL OLACAK KANIMCA #tech,452,2020-01-26T20:12:53Z,yaparsaniz incelemeyi mükemmel olacak kanimca tech,1.0,Olumlu,1
Dyson Supurge,YouTube,@ozlemozkor4112,"😂 ben yorum yapmakdan  yoruldum ama dyson tanıtımı yapanlar, yalnızca ileri ve sağ yönün de kullanılabilir ifadesini hiç söylemiyorlar. İleri geri yaptığınız da başlık arızalanıyor yenisi ne kadar sorun😅. Yada robotik şekil de size cevap veren çağrı merkezini arayıp sorun. Bizzat gen5 alıp 3 günde iade oluşturup deneyimledim",7,2024-02-25T16:56:32Z,yorum yapmak yoruldum dyson tanıtı yapan yalnızca ileri sağ yön kullanılabilir ifadesini hiç söylemiyor ileri geri yaptığınız başlık arızalanıyor yenisi sor yada robotik şekil size cevap veren çağrı merkezini arayıp sor bizzat gen alıp günde iade oluşturup deneyimled,-1.0,Olumsuz,0
iPhone 15,Twitter (Simulated),@user_10500, Enes bey kaliteli içerikleriniz için teşekkürler sorum şu 3 günlük iphone 15 cihazımda medya müzik dinlerken son seste minimal seviyede cızırtı oluyor sizde de mevcut mu bu durum acaba.,38,2024-02-08T13:37:14Z,enes bey kaliteli içerikleriniz teşekkür sorum günlük iphone cihazımda medya müzik dinlerken son seste minimal seviyede cızırtı oluyor sizde mevcut durum acaba,1.0,Olumlu,1
iPhone 15,YouTube,@akunbey,Iphone çöp eskisi gibi değil yine döneyim alayım dedim yine vazgeçtim rezalet şuna bak en son 11i almıştım sıfır öyle de kaldı yeterli,0,2025-05-16T21:20:49Z,iphone çöp eskisi değil döney alayım ded vazgeçt rezalet şuna bak son almıştım sıfır öyle kaldı yeterli,-1.0,Olumsuz,0
AirPods Pro,Instagram (Simulated),insta_user_7393,💩 Gayet başarılı bir inceleme olmuş emeğinize sağlık.. #alisveris,413,2020-01-26T00:07:10Z,gayet başarılı inceleme olmuş emeğinize sağlık alisveris,1.0,Olumlu,1
iPhone 15,Twitter (Simulated),@user_68519," Telefonun kutusunu açıp masa başında ezbere konuşsa beğenirdiniz, karşılaştırmalar anlatım tarzı her detayı ile incelemek görsellerle bu kadar iyi anlatmak. En iyi inceleme, daha fazla beğeni ve izlenme hakediyor !🎉",22,2023-11-16T21:38:53Z,telefon kutusunu açıp masa başında ezbere konuşsa beğenirdiniz karşılaştırma anlatım tarzı her detayı incelemek görsellerle iyi anlatmak iyi inceleme fazla beğeni izlenme hakediyor,1.0,Olumlu,1
iPhone 15,Twitter (Simulated),@user_14136, İphone 15 kullanicisiyim pubgda aniden donuyor kasiyor neden olabilir telefondan dolayimidir yoksa oyunun optimizasyonundan midir telwfondan subhe etmeye basladim,45,2024-04-20T16:17:28Z,iphone kullanicisiy pubgda ani donuyor kasiyor neden olabilir telefon dolayimidir yoksa oyun optimizasyonun midir telwfon subhe etmeye baslad,-1.0,Olumsuz,0
AirPods Pro,YouTube,@hakanergul,hızlı şarj adaptörünü destekliyormu.yani hızlı şarj adaptörüyle şarj süresi daha mı kısa,0,2020-04-13T20:48:36Z,hızlı şarj adaptörünü destekliyormuyani hızlı şarj adaptörüyle şarj süresi kısa,1.0,Olumlu,1
AirPods Pro,YouTube,@sertacturk,"keyif. sorunun cevabı olarak hayır düşünmem, eski airpodsların biçimini daha çok seviyorum. aktif ses kesmenin dışında ses iletiminde en iyi performansı almak için bir AKG bluetooth kulaklık tercih etmek mantıklı olabilir.",0,2020-01-25T18:24:53Z,keyif sorun cevabı olarak hayır düşünmem eski airpodsların biçimini seviyorum aktif ses kesme dışında ses iletiminde iyi performansı almak akg bluetooth kulaklık tercih etmek mantıklı olabilir,1.0,Olumlu,1
iPhone 15,Twitter (Simulated),@user_24415," Apple 60hz inadina devam etsin , düz seriler o yuzden satilmiyor. Bende 15 pro max var , anneme 15 alayim dedim 60hz yuzunden almadim git 13 pro max al daha iyi",51,2024-02-25T04:51:42Z,apple inadina devam etsin düz seri yuz satilmiyor bende pro max anneme alay ded yuzun almad git pro max iyi,1.0,Olumlu,1
iPhone 15,YouTube,@h.y.d.rockk34,İyi ki Varsın Enes Özen İcimden geldi👑♥️👑,0,2024-02-09T21:55:56Z,iyi varsın enes özen icim geldi,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_93801, teşekkür ediyorum,52,2021-03-07T13:41:18Z,teşekkür ediyorum,1.0,Olumlu,1
Samsung S24,Instagram (Simulated),insta_user_8394,🔥 Kardesim bu telefon bende var bir kere sarji cok iyi bende ertesi gunu bile goruyor ilk bi iki ha... #fiyatperformans,245,2024-09-21T12:27:38Z,kardes telefon bende kere sarji cok iyi bende ertesi gunu bile goruyor ilk iki fiyatperformans,1.0,Olumlu,1
iPhone 15,YouTube,@hayallerimvehedeflerimvar3553,İphone 15 kamerası şuan düzlerden alınabilecek en iyi seçenek mi,0,2024-04-06T12:58:04Z,iphone kamerası şuan düzler alınabilecek iyi seçenek,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_56575," Abi hayır senin airpods bozuk (kapağı)
Bende, 2. Nesilde var pro da var, ve ikisi nin kapağıda aynı. Sallanmıyor. Seninki bozuk.",27,2020-05-31T17:27:21Z,abi hayır senin airpods bozuk kapağı bende nesilde pro ikisi nin kapağıda aynı sallanmıyor seninki bozuk,-1.0,Olumsuz,0
Dyson Supurge,Instagram (Simulated),insta_user_2181,🔥 Yalan arkadaşlar mitelar o kadar küçüklerki çekemez hava yoluyla miteı #teknoloji,88,2024-01-11T16:22:32Z,yalan arkadaş mite küçüklerki çekemez hava yoluyla miteı teknoloji,-1.0,Olumsuz,0
iPhone 15,YouTube,@berkcan3763,abi ne güzel takır takır anlatmışsın helal olsun,1,2023-10-06T09:09:31Z,abi güzel takır takır anlatmışsın helal ols,1.0,Olumlu,1
Samsung S24,YouTube,@hhghcvjv,"Çok ısınıyorrrrr.... s 23  DAHA İYİ ,.. NET 👍👍",1,2024-07-13T20:47:09Z,ısınıyorrrrr iyi net,1.0,Olumlu,1
Samsung S24,YouTube,@emirhanbati6492,abi 14 15 binlere çıka bilirim en fazla yurt dışı da olabilir en iyi cihaz nedir sence 4 5 yıl kullanıcam işlemcisi iyi olmalı arka kamerasıda ön kamera pek kullanmam,0,2024-07-17T22:39:26Z,abi binlere çıka bilir fazla yurt dışı olabilir iyi cihaz nedir sence yıl kullanıcam işlemcisi iyi olmalı arka kamerasıda kamera pek kullanmam,1.0,Olumlu,1
Dyson Supurge,YouTube,@b.o.s.s6490,15.000 olsa tamam ama 27.000 çok aga... güzel makine ama 27.000 lik değil..,0,2024-01-05T16:23:46Z,olsa tamam aga güzel makine lik değil,1.0,Olumlu,1
Samsung S24,YouTube,@Elkied,"8 gen 2 li s23 , s24 den daha az ısınmakta,bataryasında 30 dk ya yakın daha fazla gitmekte.eğer 5g ülkemize gelirse bu süre 1 saatlere kadar çıkacaktır çünki exnos 2400 5g de çok pil tüketip, çok ısınmakta. snapdragonun optimize olmasını bazı insanlar anlamıyor. ama eğer tesleri izlerseniz veya okursanız  snapdarognlu s23 ün fotograf çekerken s24 den daha iyi renk skalalası olduğunu bile  görebilirsiniz. aynı testi 8 gen 3 lü s24 de çekildiğindeki tesleride bulunmakta snapdragon çok daha optimize. exnos alan insanların mutlu olduğu yorumlarını  bende görüyorum ama mutluluk görecelidir ve karşılaştırılamaz. ama uzun vadede 8 gen 2 li s23 kullanların telefonunu daha uzun süre ve soğuk kullanabileceği bi gerçek. ve soğuk olmasından mütevellit  daha az fbs drop yaşayacağınızda bi gerçek tesleri var merak eden izleyebilir. samsung 2 senede bir böyle kendi işlemcisini koyduğu ama amerikada  exnosu koyamadığı modeller çıkartmakta amaç kar tabikide sonuçta snapdragondan işlemci almak daha maliyetli. 

ne s24 fe, ne s24,ne s24+  hiçbir durumda 8 gen 2 li s23  den daha fazla fbs gösterip daha serin kalamaz kaldiki  plus modelinin zaten batarya puanı s23 ile aynı dxomarkta. exnos verimli olmadığı için 4700 mah bataryanın çok bir astı kalmıyor malesef. oyunların teslerini yaparken snapdragon işlemcili cihazlarda test edildiğini unutmamak gerek. samsung s24 ün fiyatını düşürüyor  çünki maliyeti az bir aralık emin olun s23 den ucuza da göreceksiniz. bana itimat etmek zorunda değilisiniz tabikide yüzlerce test ve videosu platforlarda mevcut ona göre kararınızı verin.s24 alıp mutlu da olabilirsiniz ama bu gerçekleri değiştirmiyor insiyatif size kalmış .",0,2024-11-18T19:00:05Z,gen den ısınmaktabataryasında yakın fazla gitmekteeğer ülkemize gelirse süre saatlere çıkacaktır çünki exnos pil tüketip ısınmakta snapdragon optimize olmasını bazı insan anlamıyor eğer tesleri izlerseniz veya okursanız snapdarognlu fotograf çekerken den iyi renk skalalası olduğunu bile görebilir aynı testi gen çekildiğindeki tesleride bulunmakta snapdragon optimize exnos alan insanların mutlu olduğu yorumlarını bende görüyorum mutluluk görecelidir karşılaştırılamaz uzun vadede gen kullanların telefonunu uzun süre soğuk kullanabileceği gerçek soğuk olmasın mütevellit fbs drop yaşayacağınızda gerçek tesleri merak eden izleyebilir samsung senede kendi işlemcisini koyduğu amerikada exnosu koyamadığı model çıkartmakta amaç kar tabikide sonuçta snapdragon işlemci almak maliyetli sne hiçbir durumda gen den fazla fbs gösterip serin kalamaz kaldiki plus modeli zaten batarya puanı aynı dxomarkta exnos verimli olmadığı mah batarya astı kalmıyor malesef oyunların teslerini yaparken snapdragon işlemcili cihazlarda test edildiğini unutmamak gerek samsung fiyatını düşürüyor çünki maliyeti aralık emin olun den ucuza görecek itimat etmek zorunda değili tabikide yüzlerce test videosu platforlarda mevcut ona göre kararınızı verins alıp mutlu olabilir gerçekleri değiştirmiyor insiyatif size kalmış,1.0,Olumlu,1
Dyson Supurge,YouTube,@forgive61,"Çok güzel bir tanıtım kardeşim, emeğine sağlık",0,2024-09-30T19:28:34Z,güzel tanıtım kardeş emeğine sağlık,1.0,Olumlu,1
iPhone 15,YouTube,@Gezginvlog48,15 pro alan birisi olarak düz 15 almayın diyorum almışken ya en iyisini alın yada apple almayın 60hz kasıyor gibi geliyor bana,0,2023-10-06T19:34:51Z,pro alan birisi olarak düz almayın diyorum almışken iyisini alın yada apple almayın kasıyor geliyor,-1.0,Olumsuz,0
Dyson Supurge,YouTube,@gbdemir,"Dyson incelemeleri için birkaç video izleyecektim ilk sizin videonuz karşıma çıktı Sadece bu video ile kesinlikle almaya karar verdim 🙏🏻🤍  ayrıca bir videodan aradım özellikler;  seri bir anlatım, 
Anlatılmadık ayrıntının kalmaması 
Bir fiil denemek
Esprili bir dil 
Hataları saklamamak ve
Samimiyet 
Ve hepsi ve daha fazlası bu videoda var 
Vallahi teşekkür ederim tebrik ederim 🙏🏻 çok beğendim hemen takip ediyorum, videolarınızın devamını diliyorum 🎉",7,2024-09-27T22:08:22Z,dyson incelemeleri birkaç video izleyecekt ilk sizin videonuz karşıma çıktı sadece video kesinlikle almaya karar verd ayrıca video aradım özellik seri anlatım anlatılmadık ayrıntı kalmaması fiil denemek esprili dil hataları saklamamak samimiyet hepsi fazlası videoda vallahi teşekkür eder tebrik eder beğend hemen takip ediyorum videolarınızın devamını diliyorum,1.0,Olumlu,1
AirPods Pro,YouTube,@burakdeuce,Airpodslar Android de özelliklerini kullana bilmekbicin tavsiye edebileceğiniz uygulama varmı....,0,2020-02-28T12:34:10Z,airpods android özelliklerini kullana bilmekbicin tavsiye edebileceğiniz uygulama var,1.0,Olumlu,1
AirPods Pro,YouTube,@aknegeoktem4266,Hocam selamlar inceleme gerçekten çok güzel elinize sağlık ben 2. Nesil airpoda kullanıyordum babam çok telefonla görüştüğünden ona verdim şimdi airpods pro almayı düşünüyorum ancak silikonlu kulaklıklardan genel olarak hoşlanmıyorum sizce kullanılmayacak kadar rahatsızlık verir mi çok kararsızım teşekkürler,0,2020-04-14T13:20:18Z,hocam selam inceleme gerçekten güzel elinize sağlık nesil airpoda kullanıyordum babam telefonla görüştüğün ona verd şimdi airpods pro almayı düşünüyorum silikonlu kulaklıklar genel olarak hoşlanmıyorum sizce kullanılmayacak rahatsızlık verir kararsızım teşekkür,1.0,Olumlu,1
